State,State Abbreviation,Year,Gender,Education Level of Mother,Education Level Code,Number of Births,Average Age of Mother (years),Average Birth Weight (g),State Code,Division,Region
Florida,FL,2018,M,9th through 12th grade with no diploma,2,9745,25.5,3202.7,FL,South,South Atlantic
Florida,FL,2018,M,High school graduate or GED completed,3,34528,27.3,3255.1,FL,South,South Atlantic
Florida,FL,2018,M,"Some college credit, but not a degree",4,20761,28.6,3292.0,FL,South,South Atlantic
Florida,FL,2018,M,"Associate degree (AA, AS)",5,11719,30.1,3326.0,FL,South,South Atlantic
Florida,FL,2018,M,"Bachelor's degree (BA, AB, BS)",6,21394,31.7,3366.9,FL,South,South Atlantic
Florida,FL,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8309,33.0,3367.0,FL,South,South Atlantic
Florida,FL,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2495,33.6,3352.4,FL,South,South Atlantic
Florida,FL,2018,M,Unknown or Not Stated,-9,1253,29.1,3234.3,FL,South,South Atlantic
Florida,FL,2019,F,8th grade or less,1,3082,28.6,3163.3,FL,South,South Atlantic
Florida,FL,2019,F,9th through 12th grade with no diploma,2,8717,25.5,3070.8,FL,South,South Atlantic
Florida,FL,2019,F,High school graduate or GED completed,3,33182,27.4,3128.9,FL,South,South Atlantic
Florida,FL,2019,F,"Some college credit, but not a degree",4,19131,28.9,3172.4,FL,South,South Atlantic
Florida,FL,2019,F,"Associate degree (AA, AS)",5,10955,30.3,3213.1,FL,South,South Atlantic
Florida,FL,2019,F,"Bachelor's degree (BA, AB, BS)",6,20534,31.8,3236.5,FL,South,South Atlantic
Florida,FL,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8255,33.2,3244.6,FL,South,South Atlantic
Florida,FL,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2569,34.0,3208.5,FL,South,South Atlantic
Florida,FL,2019,F,Unknown or Not Stated,-9,1028,29.4,3095.8,FL,South,South Atlantic
Florida,FL,2019,M,8th grade or less,1,3170,28.6,3261.5,FL,South,South Atlantic
Florida,FL,2019,M,9th through 12th grade with no diploma,2,8943,25.4,3184.9,FL,South,South Atlantic
Florida,FL,2019,M,High school graduate or GED completed,3,35154,27.3,3247.3,FL,South,South Atlantic
Florida,FL,2019,M,"Some college credit, but not a degree",4,19924,28.8,3292.9,FL,South,South Atlantic
Florida,FL,2019,M,"Associate degree (AA, AS)",5,11631,30.2,3318.2,FL,South,South Atlantic
Florida,FL,2019,M,"Bachelor's degree (BA, AB, BS)",6,21706,31.8,3368.7,FL,South,South Atlantic
Florida,FL,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8355,33.2,3367.8,FL,South,South Atlantic
Florida,FL,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2657,33.9,3328.3,FL,South,South Atlantic
Florida,FL,2019,M,Unknown or Not Stated,-9,1009,29.5,3157.2,FL,South,South Atlantic
Florida,FL,2020,F,8th grade or less,1,2897,28.8,3165.7,FL,South,South Atlantic
Florida,FL,2020,F,9th through 12th grade with no diploma,2,7952,25.5,3081.0,FL,South,South Atlantic
Florida,FL,2020,F,High school graduate or GED completed,3,31783,27.4,3134.0,FL,South,South Atlantic
Florida,FL,2020,F,"Some college credit, but not a degree",4,17663,29.0,3173.1,FL,South,South Atlantic
Florida,FL,2020,F,"Associate degree (AA, AS)",5,10686,30.3,3204.7,FL,South,South Atlantic
Florida,FL,2020,F,"Bachelor's degree (BA, AB, BS)",6,20085,31.9,3240.9,FL,South,South Atlantic
Florida,FL,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8029,33.3,3232.9,FL,South,South Atlantic
Florida,FL,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2424,33.9,3212.6,FL,South,South Atlantic
Florida,FL,2020,F,Unknown or Not Stated,-9,773,29.6,3074.7,FL,South,South Atlantic
Florida,FL,2020,M,8th grade or less,1,3020,28.5,3272.3,FL,South,South Atlantic
Florida,FL,2020,M,9th through 12th grade with no diploma,2,8275,25.6,3184.5,FL,South,South Atlantic
Florida,FL,2020,M,High school graduate or GED completed,3,33402,27.4,3247.8,FL,South,South Atlantic
Florida,FL,2020,M,"Some college credit, but not a degree",4,18310,28.9,3291.1,FL,South,South Atlantic
Florida,FL,2020,M,"Associate degree (AA, AS)",5,11196,30.3,3318.6,FL,South,South Atlantic
Florida,FL,2020,M,"Bachelor's degree (BA, AB, BS)",6,21154,31.8,3364.9,FL,South,South Atlantic
Florida,FL,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8529,33.2,3354.7,FL,South,South Atlantic
Florida,FL,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2632,34.0,3313.6,FL,South,South Atlantic
Florida,FL,2020,M,Unknown or Not Stated,-9,861,29.4,3175.2,FL,South,South Atlantic
Florida,FL,2021,F,8th grade or less,1,2875,28.7,3162.2,FL,South,South Atlantic
Florida,FL,2021,F,9th through 12th grade with no diploma,2,7517,25.8,3082.5,FL,South,South Atlantic
Florida,FL,2021,F,High school graduate or GED completed,3,32249,27.5,3123.8,FL,South,South Atlantic
Florida,FL,2021,F,"Some college credit, but not a degree",4,17985,29.2,3168.1,FL,South,South Atlantic
Florida,FL,2021,F,"Associate degree (AA, AS)",5,11321,30.4,3182.7,FL,South,South Atlantic
Florida,FL,2021,F,"Bachelor's degree (BA, AB, BS)",6,21192,31.9,3228.2,FL,South,South Atlantic
Florida,FL,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8834,33.4,3228.6,FL,South,South Atlantic
Florida,FL,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2681,34.1,3203.6,FL,South,South Atlantic
Florida,FL,2021,F,Unknown or Not Stated,-9,1113,29.9,2990.8,FL,South,South Atlantic
Florida,FL,2021,M,8th grade or less,1,2992,28.5,3261.6,FL,South,South Atlantic
Florida,FL,2021,M,9th through 12th grade with no diploma,2,7823,25.9,3194.3,FL,South,South Atlantic
Florida,FL,2021,M,High school graduate or GED completed,3,33852,27.5,3239.9,FL,South,South Atlantic
Florida,FL,2021,M,"Some college credit, but not a degree",4,18578,29.3,3283.0,FL,South,South Atlantic
Florida,FL,2021,M,"Associate degree (AA, AS)",5,11647,30.4,3307.7,FL,South,South Atlantic
Florida,FL,2021,M,"Bachelor's degree (BA, AB, BS)",6,22530,31.9,3349.4,FL,South,South Atlantic
Florida,FL,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,9001,33.2,3340.4,FL,South,South Atlantic
Florida,FL,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2874,34.1,3318.3,FL,South,South Atlantic
Florida,FL,2021,M,Unknown or Not Stated,-9,1196,29.8,3069.3,FL,South,South Atlantic
Georgia,GA,2016,F,8th grade or less,1,2420,28.9,3202.1,GA,South,South Atlantic
Georgia,GA,2016,F,9th through 12th grade with no diploma,2,6825,24.5,3052.8,GA,South,South Atlantic
Georgia,GA,2016,F,High school graduate or GED completed,3,18814,26.0,3093.6,GA,South,South Atlantic
Georgia,GA,2016,F,"Some college credit, but not a degree",4,12209,27.5,3137.7,GA,South,South Atlantic
Georgia,GA,2016,F,"Associate degree (AA, AS)",5,4307,29.4,3165.2,GA,South,South Atlantic
Georgia,GA,2016,F,"Bachelor's degree (BA, AB, BS)",6,13299,31.2,3228.1,GA,South,South Atlantic
Georgia,GA,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4522,32.8,3235.2,GA,South,South Atlantic
Georgia,GA,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1008,33.6,3216.2,GA,South,South Atlantic
Georgia,GA,2016,F,Unknown or Not Stated,-9,558,28.8,3080.4,GA,South,South Atlantic
Georgia,GA,2016,M,8th grade or less,1,2474,28.8,3305.7,GA,South,South Atlantic
Georgia,GA,2016,M,9th through 12th grade with no diploma,2,7008,24.2,3146.2,GA,South,South Atlantic
Georgia,GA,2016,M,High school graduate or GED completed,3,19456,26.1,3213.0,GA,South,South Atlantic
Georgia,GA,2016,M,"Some college credit, but not a degree",4,12774,27.4,3265.6,GA,South,South Atlantic
Georgia,GA,2016,M,"Associate degree (AA, AS)",5,4359,29.4,3308.3,GA,South,South Atlantic
Georgia,GA,2016,M,"Bachelor's degree (BA, AB, BS)",6,13435,31.2,3346.7,GA,South,South Atlantic
Georgia,GA,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4828,32.6,3346.2,GA,South,South Atlantic
Georgia,GA,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1125,33.9,3334.4,GA,South,South Atlantic
Georgia,GA,2016,M,Unknown or Not Stated,-9,621,28.7,3214.6,GA,South,South Atlantic
Georgia,GA,2017,F,8th grade or less,1,2122,29.2,3167.8,GA,South,South Atlantic
Georgia,GA,2017,F,9th through 12th grade with no diploma,2,6106,24.5,3043.5,GA,South,South Atlantic
Georgia,GA,2017,F,High school graduate or GED completed,3,19130,26.2,3097.8,GA,South,South Atlantic
Georgia,GA,2017,F,"Some college credit, but not a degree",4,11984,27.6,3127.8,GA,South,South Atlantic
Georgia,GA,2017,F,"Associate degree (AA, AS)",5,4453,29.5,3179.8,GA,South,South Atlantic
Georgia,GA,2017,F,"Bachelor's degree (BA, AB, BS)",6,13726,31.3,3215.6,GA,South,South Atlantic
Georgia,GA,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4238,32.6,3230.8,GA,South,South Atlantic
Georgia,GA,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1058,33.8,3239.8,GA,South,South Atlantic
Georgia,GA,2017,F,Unknown or Not Stated,-9,396,29.1,3100.4,GA,South,South Atlantic
Georgia,GA,2017,M,8th grade or less,1,2289,29.5,3294.1,GA,South,South Atlantic
Georgia,GA,2017,M,9th through 12th grade with no diploma,2,6514,24.4,3149.8,GA,South,South Atlantic
Georgia,GA,2017,M,High school graduate or GED completed,3,20259,26.2,3208.5,GA,South,South Atlantic
Georgia,GA,2017,M,"Some college credit, but not a degree",4,12284,27.6,3246.8,GA,South,South Atlantic
Georgia,GA,2017,M,"Associate degree (AA, AS)",5,4480,29.4,3294.3,GA,South,South Atlantic
Georgia,GA,2017,M,"Bachelor's degree (BA, AB, BS)",6,14268,31.3,3338.0,GA,South,South Atlantic
Georgia,GA,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4416,32.5,3356.1,GA,South,South Atlantic
Georgia,GA,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1087,33.8,3352.9,GA,South,South Atlantic
Georgia,GA,2017,M,Unknown or Not Stated,-9,433,28.9,3156.5,GA,South,South Atlantic
Georgia,GA,2018,F,8th grade or less,1,2031,28.8,3192.8,GA,South,South Atlantic
Georgia,GA,2018,F,9th through 12th grade with no diploma,2,5767,24.5,3059.5,GA,South,South Atlantic
Georgia,GA,2018,F,High school graduate or GED completed,3,19316,26.3,3090.1,GA,South,South Atlantic
Georgia,GA,2018,F,"Some college credit, but not a degree",4,11381,27.7,3128.0,GA,South,South Atlantic
Georgia,GA,2018,F,"Associate degree (AA, AS)",5,4634,29.6,3175.7,GA,South,South Atlantic
Georgia,GA,2018,F,"Bachelor's degree (BA, AB, BS)",6,12964,31.4,3215.1,GA,South,South Atlantic
Georgia,GA,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4290,32.9,3211.9,GA,South,South Atlantic
Georgia,GA,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1032,34.0,3217.0,GA,South,South Atlantic
Georgia,GA,2018,F,Unknown or Not Stated,-9,297,28.4,3031.7,GA,South,South Atlantic
Georgia,GA,2018,M,8th grade or less,1,2055,29.0,3261.5,GA,South,South Atlantic
Georgia,GA,2018,M,9th through 12th grade with no diploma,2,6111,24.6,3173.7,GA,South,South Atlantic
Georgia,GA,2018,M,High school graduate or GED completed,3,20425,26.4,3201.2,GA,South,South Atlantic
Georgia,GA,2018,M,"Some college credit, but not a degree",4,11512,27.8,3249.9,GA,South,South Atlantic
Georgia,GA,2018,M,"Associate degree (AA, AS)",5,4836,29.8,3269.6,GA,South,South Atlantic
Georgia,GA,2018,M,"Bachelor's degree (BA, AB, BS)",6,13705,31.4,3343.4,GA,South,South Atlantic
Georgia,GA,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4455,32.7,3328.4,GA,South,South Atlantic
Georgia,GA,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1082,34.0,3315.0,GA,South,South Atlantic
Georgia,GA,2018,M,Unknown or Not Stated,-9,279,29.4,3092.2,GA,South,South Atlantic
Georgia,GA,2019,F,8th grade or less,1,1982,28.7,3186.7,GA,South,South Atlantic
Georgia,GA,2019,F,9th through 12th grade with no diploma,2,5840,24.8,3036.7,GA,South,South Atlantic
Georgia,GA,2019,F,High school graduate or GED completed,3,19412,26.4,3086.5,GA,South,South Atlantic
Georgia,GA,2019,F,"Some college credit, but not a degree",4,11170,28.0,3135.4,GA,South,South Atlantic
Georgia,GA,2019,F,"Associate degree (AA, AS)",5,4926,29.8,3134.7,GA,South,South Atlantic
Georgia,GA,2019,F,"Bachelor's degree (BA, AB, BS)",6,13083,31.4,3206.3,GA,South,South Atlantic
Georgia,GA,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4252,32.8,3207.3,GA,South,South Atlantic
Georgia,GA,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1036,34.0,3193.7,GA,South,South Atlantic
Georgia,GA,2019,F,Unknown or Not Stated,-9,356,28.7,3054.1,GA,South,South Atlantic
Georgia,GA,2019,M,8th grade or less,1,2041,29.0,3262.6,GA,South,South Atlantic
Georgia,GA,2019,M,9th through 12th grade with no diploma,2,6011,24.7,3160.9,GA,South,South Atlantic
Georgia,GA,2019,M,High school graduate or GED completed,3,20170,26.4,3204.4,GA,South,South Atlantic
Georgia,GA,2019,M,"Some college credit, but not a degree",4,11548,27.8,3252.0,GA,South,South Atlantic
Georgia,GA,2019,M,"Associate degree (AA, AS)",5,4918,29.7,3268.2,GA,South,South Atlantic
Georgia,GA,2019,M,"Bachelor's degree (BA, AB, BS)",6,13819,31.4,3321.0,GA,South,South Atlantic
Georgia,GA,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4357,32.8,3312.1,GA,South,South Atlantic
Georgia,GA,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1109,34.1,3327.5,GA,South,South Atlantic
Georgia,GA,2019,M,Unknown or Not Stated,-9,341,28.7,3253.9,GA,South,South Atlantic
Georgia,GA,2020,F,8th grade or less,1,1870,29.0,3155.3,GA,South,South Atlantic
Georgia,GA,2020,F,9th through 12th grade with no diploma,2,5318,24.8,3052.3,GA,South,South Atlantic
Georgia,GA,2020,F,High school graduate or GED completed,3,19392,26.6,3097.2,GA,South,South Atlantic
Georgia,GA,2020,F,"Some college credit, but not a degree",4,10311,28.0,3117.8,GA,South,South Atlantic
Georgia,GA,2020,F,"Associate degree (AA, AS)",5,4691,29.9,3158.2,GA,South,South Atlantic
Georgia,GA,2020,F,"Bachelor's degree (BA, AB, BS)",6,12654,31.4,3216.1,GA,South,South Atlantic
Georgia,GA,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4356,32.8,3214.3,GA,South,South Atlantic
Georgia,GA,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1021,34.2,3214.4,GA,South,South Atlantic
Georgia,GA,2020,F,Unknown or Not Stated,-9,200,30.0,2938.7,GA,South,South Atlantic
Georgia,GA,2020,M,8th grade or less,1,1940,29.1,3267.9,GA,South,South Atlantic
Georgia,GA,2020,M,9th through 12th grade with no diploma,2,5567,24.8,3174.5,GA,South,South Atlantic
Georgia,GA,2020,M,High school graduate or GED completed,3,20283,26.5,3192.3,GA,South,South Atlantic
Georgia,GA,2020,M,"Some college credit, but not a degree",4,10835,28.0,3257.8,GA,South,South Atlantic
Georgia,GA,2020,M,"Associate degree (AA, AS)",5,4818,29.8,3270.4,GA,South,South Atlantic
Georgia,GA,2020,M,"Bachelor's degree (BA, AB, BS)",6,13538,31.4,3319.5,GA,South,South Atlantic
Georgia,GA,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4374,32.7,3358.2,GA,South,South Atlantic
Georgia,GA,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1092,33.9,3326.0,GA,South,South Atlantic
Georgia,GA,2020,M,Unknown or Not Stated,-9,213,28.7,3088.6,GA,South,South Atlantic
Georgia,GA,2021,F,8th grade or less,1,1781,29.0,3166.8,GA,South,South Atlantic
Georgia,GA,2021,F,9th through 12th grade with no diploma,2,4973,25.0,3048.6,GA,South,South Atlantic
Georgia,GA,2021,F,High school graduate or GED completed,3,19743,26.7,3072.0,GA,South,South Atlantic
Georgia,GA,2021,F,"Some college credit, but not a degree",4,9734,28.2,3134.9,GA,South,South Atlantic
Georgia,GA,2021,F,"Associate degree (AA, AS)",5,4923,30.0,3137.0,GA,South,South Atlantic
Georgia,GA,2021,F,"Bachelor's degree (BA, AB, BS)",6,13581,31.5,3187.0,GA,South,South Atlantic
Georgia,GA,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4633,32.9,3199.6,GA,South,South Atlantic
Georgia,GA,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1202,34.2,3184.8,GA,South,South Atlantic
Georgia,GA,2021,F,Unknown or Not Stated,-9,180,28.9,2995.9,GA,South,South Atlantic
Georgia,GA,2021,M,8th grade or less,1,1881,29.0,3240.9,GA,South,South Atlantic
Georgia,GA,2021,M,9th through 12th grade with no diploma,2,5201,24.8,3130.5,GA,South,South Atlantic
Georgia,GA,2021,M,High school graduate or GED completed,3,20573,26.7,3188.6,GA,South,South Atlantic
Georgia,GA,2021,M,"Some college credit, but not a degree",4,10352,28.2,3228.5,GA,South,South Atlantic
Georgia,GA,2021,M,"Associate degree (AA, AS)",5,4975,29.9,3265.3,GA,South,South Atlantic
Georgia,GA,2021,M,"Bachelor's degree (BA, AB, BS)",6,13870,31.5,3318.4,GA,South,South Atlantic
Georgia,GA,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,5042,32.8,3316.4,GA,South,South Atlantic
Georgia,GA,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1281,34.0,3319.6,GA,South,South Atlantic
Georgia,GA,2021,M,Unknown or Not Stated,-9,148,28.7,3113.8,GA,South,South Atlantic
Hawaii,HI,2016,F,8th grade or less,1,81,28.0,3171.9,HI,West,Pacific
Hawaii,HI,2016,F,9th through 12th grade with no diploma,2,1394,26.7,3113.9,HI,West,Pacific
Hawaii,HI,2016,F,High school graduate or GED completed,3,1657,26.4,3218.8,HI,West,Pacific
Hawaii,HI,2016,F,"Some college credit, but not a degree",4,1712,28.3,3206.3,HI,West,Pacific
Hawaii,HI,2016,F,"Associate degree (AA, AS)",5,1027,29.9,3145.2,HI,West,Pacific
Hawaii,HI,2016,F,"Bachelor's degree (BA, AB, BS)",6,1862,31.9,3183.3,HI,West,Pacific
Hawaii,HI,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,673,34.0,3152.4,HI,West,Pacific
Hawaii,HI,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,112,34.8,3259.3,HI,West,Pacific
Hawaii,HI,2016,F,Unknown or Not Stated,-9,46,29.3,3033.5,HI,West,Pacific
Hawaii,HI,2016,M,8th grade or less,1,76,27.4,3174.4,HI,West,Pacific
Hawaii,HI,2016,M,9th through 12th grade with no diploma,2,1565,26.8,3201.7,HI,West,Pacific
Hawaii,HI,2016,M,High school graduate or GED completed,3,1800,26.5,3296.8,HI,West,Pacific
Hawaii,HI,2016,M,"Some college credit, but not a degree",4,1764,28.4,3316.1,HI,West,Pacific
Hawaii,HI,2016,M,"Associate degree (AA, AS)",5,1271,30.3,3238.3,HI,West,Pacific
Hawaii,HI,2016,M,"Bachelor's degree (BA, AB, BS)",6,2033,31.7,3295.6,HI,West,Pacific
Hawaii,HI,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,825,34.1,3282.3,HI,West,Pacific
Hawaii,HI,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,104,34.2,3351.1,HI,West,Pacific
Hawaii,HI,2016,M,Unknown or Not Stated,-9,57,29.8,3124.0,HI,West,Pacific
Hawaii,HI,2017,F,8th grade or less,1,62,27.3,3058.8,HI,West,Pacific
Hawaii,HI,2017,F,9th through 12th grade with no diploma,2,1438,26.4,3119.2,HI,West,Pacific
Hawaii,HI,2017,F,High school graduate or GED completed,3,1465,26.7,3198.5,HI,West,Pacific
Hawaii,HI,2017,F,"Some college credit, but not a degree",4,1630,28.3,3203.9,HI,West,Pacific
Hawaii,HI,2017,F,"Associate degree (AA, AS)",5,1051,30.4,3148.0,HI,West,Pacific
Hawaii,HI,2017,F,"Bachelor's degree (BA, AB, BS)",6,1823,32.3,3203.4,HI,West,Pacific
Hawaii,HI,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,730,33.8,3202.9,HI,West,Pacific
Hawaii,HI,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,126,34.5,3258.9,HI,West,Pacific
Hawaii,HI,2017,F,Unknown or Not Stated,-9,54,28.8,2937.4,HI,West,Pacific
Hawaii,HI,2017,M,8th grade or less,1,87,27.2,3248.5,HI,West,Pacific
Hawaii,HI,2017,M,9th through 12th grade with no diploma,2,1606,26.5,3175.5,HI,West,Pacific
Hawaii,HI,2017,M,High school graduate or GED completed,3,1659,26.8,3316.5,HI,West,Pacific
Hawaii,HI,2017,M,"Some college credit, but not a degree",4,1762,28.5,3306.0,HI,West,Pacific
Hawaii,HI,2017,M,"Associate degree (AA, AS)",5,1123,30.1,3258.2,HI,West,Pacific
Hawaii,HI,2017,M,"Bachelor's degree (BA, AB, BS)",6,1977,32.0,3296.9,HI,West,Pacific
Hawaii,HI,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,741,33.8,3288.6,HI,West,Pacific
Hawaii,HI,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,123,34.7,3345.1,HI,West,Pacific
Hawaii,HI,2017,M,Unknown or Not Stated,-9,60,29.1,3080.2,HI,West,Pacific
Hawaii,HI,2018,F,8th grade or less,1,59,26.9,3249.2,HI,West,Pacific
Hawaii,HI,2018,F,9th through 12th grade with no diploma,2,1390,26.6,3113.2,HI,West,Pacific
Hawaii,HI,2018,F,High school graduate or GED completed,3,1411,26.8,3206.9,HI,West,Pacific
Hawaii,HI,2018,F,"Some college credit, but not a degree",4,1679,28.8,3175.0,HI,West,Pacific
Hawaii,HI,2018,F,"Associate degree (AA, AS)",5,935,30.8,3161.8,HI,West,Pacific
Hawaii,HI,2018,F,"Bachelor's degree (BA, AB, BS)",6,1888,32.0,3211.6,HI,West,Pacific
Hawaii,HI,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,702,34.2,3225.9,HI,West,Pacific
Hawaii,HI,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,121,34.2,3214.4,HI,West,Pacific
Hawaii,HI,2018,F,Unknown or Not Stated,-9,61,29.5,3081.8,HI,West,Pacific
Hawaii,HI,2018,M,8th grade or less,1,78,29.0,3206.5,HI,West,Pacific
Hawaii,HI,2018,M,9th through 12th grade with no diploma,2,1468,26.8,3191.7,HI,West,Pacific
Hawaii,HI,2018,M,High school graduate or GED completed,3,1496,26.8,3315.1,HI,West,Pacific
Hawaii,HI,2018,M,"Some college credit, but not a degree",4,1754,28.7,3283.4,HI,West,Pacific
Hawaii,HI,2018,M,"Associate degree (AA, AS)",5,1041,30.4,3247.8,HI,West,Pacific
Hawaii,HI,2018,M,"Bachelor's degree (BA, AB, BS)",6,2001,32.2,3283.5,HI,West,Pacific
Hawaii,HI,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,705,33.9,3277.8,HI,West,Pacific
Hawaii,HI,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,127,34.8,3280.9,HI,West,Pacific
Hawaii,HI,2018,M,Unknown or Not Stated,-9,56,30.4,2916.6,HI,West,Pacific
Hawaii,HI,2019,F,8th grade or less,1,71,27.2,3121.2,HI,West,Pacific
Hawaii,HI,2019,F,9th through 12th grade with no diploma,2,1388,26.7,3118.2,HI,West,Pacific
Hawaii,HI,2019,F,High school graduate or GED completed,3,1420,27.0,3175.5,HI,West,Pacific
Hawaii,HI,2019,F,"Some college credit, but not a degree",4,1636,28.9,3172.4,HI,West,Pacific
Hawaii,HI,2019,F,"Associate degree (AA, AS)",5,789,31.1,3205.9,HI,West,Pacific
Hawaii,HI,2019,F,"Bachelor's degree (BA, AB, BS)",6,1804,32.3,3177.9,HI,West,Pacific
Hawaii,HI,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,722,34.0,3171.7,HI,West,Pacific
Hawaii,HI,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,111,34.8,3218.0,HI,West,Pacific
Hawaii,HI,2019,F,Unknown or Not Stated,-9,78,28.0,3042.4,HI,West,Pacific
Hawaii,HI,2019,M,8th grade or less,1,66,28.7,3030.4,HI,West,Pacific
Hawaii,HI,2019,M,9th through 12th grade with no diploma,2,1475,26.9,3185.2,HI,West,Pacific
Hawaii,HI,2019,M,High school graduate or GED completed,3,1521,26.9,3314.6,HI,West,Pacific
Hawaii,HI,2019,M,"Some college credit, but not a degree",4,1882,28.8,3281.0,HI,West,Pacific
Hawaii,HI,2019,M,"Associate degree (AA, AS)",5,892,30.7,3244.6,HI,West,Pacific
Hawaii,HI,2019,M,"Bachelor's degree (BA, AB, BS)",6,1999,32.2,3276.7,HI,West,Pacific
Hawaii,HI,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,733,34.2,3302.7,HI,West,Pacific
Hawaii,HI,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,135,35.0,3447.8,HI,West,Pacific
Hawaii,HI,2019,M,Unknown or Not Stated,-9,75,28.5,3234.2,HI,West,Pacific
Hawaii,HI,2020,F,8th grade or less,1,54,30.4,3166.3,HI,West,Pacific
Hawaii,HI,2020,F,9th through 12th grade with no diploma,2,1276,27.2,3111.1,HI,West,Pacific
Hawaii,HI,2020,F,High school graduate or GED completed,3,1364,26.8,3220.8,HI,West,Pacific
Hawaii,HI,2020,F,"Some college credit, but not a degree",4,1485,28.8,3184.0,HI,West,Pacific
Hawaii,HI,2020,F,"Associate degree (AA, AS)",5,770,30.8,3176.0,HI,West,Pacific
