State,State Abbreviation,Year,Gender,Education Level of Mother,Education Level Code,Number of Births,Average Age of Mother (years),Average Birth Weight (g),State Code,Division,Region
Alabama,AL,2018,M,"Bachelor's degree (BA, AB, BS)",6,4621,30.5,3373.0,AL,South,East South Central
Alabama,AL,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1988,31.9,3348.8,AL,South,East South Central
Alabama,AL,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,570,33.1,3321.5,AL,South,East South Central
Alabama,AL,2018,M,Unknown or Not Stated,-9,62,27.6,3136.7,AL,South,East South Central
Alabama,AL,2019,F,8th grade or less,1,1138,27.7,3128.1,AL,South,East South Central
Alabama,AL,2019,F,9th through 12th grade with no diploma,2,2856,24.4,3035.8,AL,South,East South Central
Alabama,AL,2019,F,High school graduate or GED completed,3,9240,25.6,3055.7,AL,South,East South Central
Alabama,AL,2019,F,"Some college credit, but not a degree",4,6055,27.1,3111.0,AL,South,East South Central
Alabama,AL,2019,F,"Associate degree (AA, AS)",5,2400,29.0,3179.1,AL,South,East South Central
Alabama,AL,2019,F,"Bachelor's degree (BA, AB, BS)",6,4293,30.4,3238.7,AL,South,East South Central
Alabama,AL,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1869,31.9,3235.4,AL,South,East South Central
Alabama,AL,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,523,33.2,3275.3,AL,South,East South Central
Alabama,AL,2019,F,Unknown or Not Stated,-9,46,27.4,3072.0,AL,South,East South Central
Alabama,AL,2019,M,8th grade or less,1,1212,28.0,3246.0,AL,South,East South Central
Alabama,AL,2019,M,9th through 12th grade with no diploma,2,2999,24.5,3144.5,AL,South,East South Central
Alabama,AL,2019,M,High school graduate or GED completed,3,9647,25.5,3179.5,AL,South,East South Central
Alabama,AL,2019,M,"Some college credit, but not a degree",4,6490,27.1,3212.7,AL,South,East South Central
Alabama,AL,2019,M,"Associate degree (AA, AS)",5,2617,28.9,3297.6,AL,South,East South Central
Alabama,AL,2019,M,"Bachelor's degree (BA, AB, BS)",6,4599,30.5,3342.3,AL,South,East South Central
Alabama,AL,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2046,32.1,3380.2,AL,South,East South Central
Alabama,AL,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,533,33.1,3375.9,AL,South,East South Central
Alabama,AL,2019,M,Unknown or Not Stated,-9,52,28.0,3160.5,AL,South,East South Central
Alabama,AL,2020,F,8th grade or less,1,1153,27.6,3100.8,AL,South,East South Central
Alabama,AL,2020,F,9th through 12th grade with no diploma,2,2763,24.8,3051.5,AL,South,East South Central
Alabama,AL,2020,F,High school graduate or GED completed,3,9355,25.6,3056.3,AL,South,East South Central
Alabama,AL,2020,F,"Some college credit, but not a degree",4,5668,27.3,3119.5,AL,South,East South Central
Alabama,AL,2020,F,"Associate degree (AA, AS)",5,2457,29.1,3170.9,AL,South,East South Central
Alabama,AL,2020,F,"Bachelor's degree (BA, AB, BS)",6,4307,30.5,3229.5,AL,South,East South Central
Alabama,AL,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1975,31.9,3229.2,AL,South,East South Central
Alabama,AL,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,549,33.2,3228.2,AL,South,East South Central
Alabama,AL,2020,F,Unknown or Not Stated,-9,42,29.4,2971.6,AL,South,East South Central
Alabama,AL,2020,M,8th grade or less,1,1141,27.4,3212.3,AL,South,East South Central
Alabama,AL,2020,M,9th through 12th grade with no diploma,2,2849,24.5,3121.3,AL,South,East South Central
Alabama,AL,2020,M,High school graduate or GED completed,3,9656,25.7,3172.3,AL,South,East South Central
Alabama,AL,2020,M,"Some college credit, but not a degree",4,5840,27.3,3233.1,AL,South,East South Central
Alabama,AL,2020,M,"Associate degree (AA, AS)",5,2639,29.2,3284.6,AL,South,East South Central
Alabama,AL,2020,M,"Bachelor's degree (BA, AB, BS)",6,4543,30.4,3347.7,AL,South,East South Central
Alabama,AL,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2101,32.1,3354.2,AL,South,East South Central
Alabama,AL,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,572,33.3,3327.8,AL,South,East South Central
Alabama,AL,2020,M,Unknown or Not Stated,-9,37,30.6,3034.6,AL,South,East South Central
Alabama,AL,2021,F,8th grade or less,1,1183,27.9,3127.1,AL,South,East South Central
Alabama,AL,2021,F,9th through 12th grade with no diploma,2,2595,24.5,3053.7,AL,South,East South Central
Alabama,AL,2021,F,High school graduate or GED completed,3,9437,25.8,3070.7,AL,South,East South Central
Alabama,AL,2021,F,"Some college credit, but not a degree",4,5577,27.6,3099.8,AL,South,East South Central
Alabama,AL,2021,F,"Associate degree (AA, AS)",5,2441,29.0,3156.5,AL,South,East South Central
Alabama,AL,2021,F,"Bachelor's degree (BA, AB, BS)",6,4480,30.5,3217.7,AL,South,East South Central
Alabama,AL,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2173,31.9,3212.8,AL,South,East South Central
Alabama,AL,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,577,33.0,3264.8,AL,South,East South Central
Alabama,AL,2021,F,Unknown or Not Stated,-9,32,27.8,3056.9,AL,South,East South Central
Alabama,AL,2021,M,8th grade or less,1,1203,27.6,3228.6,AL,South,East South Central
Alabama,AL,2021,M,9th through 12th grade with no diploma,2,2645,24.4,3132.3,AL,South,East South Central
Alabama,AL,2021,M,High school graduate or GED completed,3,9728,25.8,3180.0,AL,South,East South Central
Alabama,AL,2021,M,"Some college credit, but not a degree",4,5678,27.4,3227.7,AL,South,East South Central
Alabama,AL,2021,M,"Associate degree (AA, AS)",5,2598,29.2,3269.8,AL,South,East South Central
Alabama,AL,2021,M,"Bachelor's degree (BA, AB, BS)",6,4786,30.4,3362.4,AL,South,East South Central
Alabama,AL,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2248,31.8,3349.1,AL,South,East South Central
Alabama,AL,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,643,33.3,3327.3,AL,South,East South Central
Alabama,AL,2021,M,Unknown or Not Stated,-9,30,27.5,3102.0,AL,South,East South Central
Alaska,AK,2016,F,8th grade or less,1,32,28.2,3396.0,AK,West,Pacific
Alaska,AK,2016,F,9th through 12th grade with no diploma,2,491,24.5,3288.1,AK,West,Pacific
Alaska,AK,2016,F,High school graduate or GED completed,3,1603,26.2,3321.2,AK,West,Pacific
Alaska,AK,2016,F,"Some college credit, but not a degree",4,1442,27.8,3369.0,AK,West,Pacific
Alaska,AK,2016,F,"Associate degree (AA, AS)",5,438,29.7,3370.3,AK,West,Pacific
Alaska,AK,2016,F,"Bachelor's degree (BA, AB, BS)",6,892,31.0,3353.1,AK,West,Pacific
Alaska,AK,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,379,32.8,3371.1,AK,West,Pacific
Alaska,AK,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,86,33.5,3303.1,AK,West,Pacific
Alaska,AK,2016,F,Unknown or Not Stated,-9,81,29.4,3344.0,AK,West,Pacific
Alaska,AK,2016,M,8th grade or less,1,44,28.2,3263.0,AK,West,Pacific
Alaska,AK,2016,M,9th through 12th grade with no diploma,2,559,24.3,3347.5,AK,West,Pacific
Alaska,AK,2016,M,High school graduate or GED completed,3,1743,26.1,3436.5,AK,West,Pacific
Alaska,AK,2016,M,"Some college credit, but not a degree",4,1469,28.0,3485.8,AK,West,Pacific
Alaska,AK,2016,M,"Associate degree (AA, AS)",5,468,29.4,3482.9,AK,West,Pacific
Alaska,AK,2016,M,"Bachelor's degree (BA, AB, BS)",6,956,31.0,3473.1,AK,West,Pacific
Alaska,AK,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,340,33.1,3467.9,AK,West,Pacific
